rank,model_family,auprc,roc_auc,brier_score,ece,calibrated_brier_score,calibrated_ece,sensitivity,specificity,ppv,npv,tp,fp,tn,fn,false_positives_per_detected_progressor
1,late_mean,0.6296063673808114,0.7742,0.18416471503194634,0.07506470272529156,0.1997743865379831,0.07548904259245007,0.58,0.8,0.5918367346938775,0.7920792079207921,29,20,80,21,0.6896551724137931
2,early_fusion,0.5896492405308168,0.7384,0.21302356568360012,0.14105625140170258,0.18719830780839722,0.07122395511317615,0.58,0.85,0.6590909090909091,0.8018867924528302,29,15,85,21,0.5172413793103449
3,intermediate_fusion,0.5674716441983724,0.7414,0.2241938929121184,0.16724188966676592,0.1971371581418948,0.07050978087644408,0.48,0.84,0.6,0.7636363636363637,24,16,84,26,0.6666666666666666
4,image_only,0.5570344445745173,0.7312,0.24525580649306414,0.21531328660746415,0.2010431680488248,0.07286088026164893,0.6,0.72,0.5172413793103449,0.782608695652174,30,28,72,20,0.9333333333333333
5,cnv_only,0.5384535363777874,0.663,0.2159536835246922,0.0947740719695052,0.2173133134676894,0.02007843507528837,0.28,0.9,0.5833333333333334,0.7142857142857143,14,10,90,36,0.7142857142857143
6,late_stack_logit,0.5303204472585012,0.7366,0.20249469565680342,0.10963185781403231,0.21469772004747545,0.012950796983434187,0.6,0.75,0.5454545454545454,0.7894736842105263,30,25,75,20,0.8333333333333334
